9.31,122.09,1
9.36,39.83,1
22.3,9.36,-1
9.39,9.34,-1
12.93,33.15,1
19.97,9.35,-1
9.21,9.43,1
9.29,13.8,1
36.37,14.13,-1
10.45,54.72,1
17.08,9.43,-1
25.56,13.74,-1
15.29,9.35,-1
54.97,9.34,-1
34.27,36.47,1
9.32,36.19,1
16.06,9.3,-1
9.34,9.26,-1
22,9.36,-1
52.91,9.44,-1
41.61,9.3,-1
23.76,10.61,-1
9.32,28.87,1
17.15,9.47,-1
24.44,22.09,-1
26,9.38,-1
9.33,26.01,1
65.83,10.26,-1
23.02,10.24,-1
69.37,35.85,-1
26.06,9.37,-1
9.41,9.44,1
23.61,9.29,-1
48.27,10.85,-1
55.05,9.47,-1
16.15,49.02,1
9.27,9.4,1
16.09,9.42,-1
23.48,39.7,1
16.15,13.77,-1
38.85,9.37,-1
21.39,9.26,-1
9.44,10.06,1
9.4,9.25,-1
9.37,22.06,1
9.26,24.15,1
25.87,46.89,1
23.05,9.48,-1
16.99,48.76,1
55.61,9.31,-1
25.1,9.37,-1
9.37,9.33,-1
9.37,9.4,1
16.44,36.54,1
9.38,19.86,1
43.22,25.66,-1
9.33,9.28,-1
23.43,78.07,1
14.42,13.86,-1
9.28,23.11,1
9.39,9.52,1
27.31,11.95,-1
9.45,60,1
26.92,9.18,-1
9.31,9.4,1
18.74,9.31,-1
15.92,9.44,-1
49.93,23.16,-1
9.4,9.36,-1
9.37,9.28,-1
9.41,42.37,1
13.96,9.37,-1
9.41,9.24,-1
21.89,54.27,1
21.45,9.44,-1
9.97,11.55,1
9.34,24.87,1
29.58,9.37,-1
45.7,9.36,-1
113.38,14.36,-1
21.76,9.89,-1
25.01,9.32,-1
12.03,9.36,-1
9.48,10.9,1
52.11,17.49,-1
22.2,9.38,-1
77.89,9.16,-1
9.35,12.95,1
20.4,9.33,-1
47.97,18.58,-1
9.48,9.46,-1
99.46,9.34,-1
9.23,20.8,1
9.26,26.58,1
9.58,44,1
12.01,9.29,-1
56.11,27.74,-1
9.94,16.81,1
40.98,10.16,-1
,,-25
