t,average_reward
0.45260015705778844,154.72
0.45153293174548187,145.871
0.4145008580161462,9.322
0.4145008576696853,9.334
0.414500857517827,9.349
0.41450085724195773,9.349
0.41450085705098855,9.345
0.4145008569584606,9.308
0.41450085558652716,9.376
0.414500855140438,9.367
0.41450085481262305,9.298
0.4145008545406764,9.37
0.41450085450876556,9.355
0.4145008540114322,9.318
0.4145008535882724,9.371
0.4145008534776474,9.345
0.41450085262864267,9.331
0.41450085013696475,9.32
0.4145008488897388,9.417
0.4145008487449401,9.342
0.4145008467091003,9.347
0.4145008465483601,9.384
0.41450084654445124,9.322
0.4145008446802497,9.337
0.41450084313343927,9.36
0.4145008421322132,9.356
0.4145008411071375,9.323
0.4145008408602645,9.339
0.41450084012131855,9.326
0.4145008398659186,9.33
0.4145008398188877,9.328
0.41450083925385195,9.381
0.4145008372647804,9.381
0.4145008372646726,9.371
0.41450083708526975,9.346
0.4145008364358357,9.345
0.41450083569985624,9.377
0.4145008356907487,9.351
0.41450083566016654,9.402
0.4145008353826493,9.376
0.4145008347364716,9.355
0.4145008331423824,9.386
0.4145008321606916,9.287
0.4145008320581039,9.389
0.414500831060665,9.318
0.4145008306000194,9.353
0.4145008305718527,9.296
0.41450083045604263,9.385
0.414500830430218,9.365
0.41450083026709256,9.388
0.41450083022210593,9.341
0.4145008296309281,9.357
0.4145008292875908,9.322
0.41450082832667756,9.357
0.41450082830421525,9.422
0.4145008280228168,9.333
0.414500827851394,9.377
0.4145008269703082,9.352
0.41450082687048606,9.376
0.41450082681262934,9.339
0.41450082624497636,9.346
0.41450082459945004,9.352
0.41450082458491566,9.375
0.41450082404857863,9.341
0.4145008238073381,9.38
0.4145008236802951,9.405
0.4145008234235464,9.381
0.4145008233263136,9.317
0.4145008216794929,9.333
0.4145008216641757,9.355
0.41450082132828714,9.347
0.41450082105586344,9.349
0.4145008207976715,9.331
0.41450082024301405,9.364
0.41450081837306674,9.374
0.41450081818994416,9.313
0.41450081731526045,9.333
0.41450081713518305,9.338
0.4145008169793676,9.334
0.4145008169547038,9.398
0.4145008166858097,9.355
0.41450081668170136,9.377
0.41450081464876803,9.368
0.4145008144448825,9.383
0.41450081443199716,9.378
0.4145008135901199,9.326
0.41450081343775624,9.336
0.41450081294122376,9.315
0.41450081125118277,9.369
0.4145008110274401,9.319
0.4145008102994919,9.349
0.414500810202235,9.402
0.41450081017845547,9.347
0.41450081017713747,9.378
0.41450081010218603,9.352
0.4145008097991277,9.333
0.41450080945715195,9.373
0.4145008089520848,9.343
0.4145008083729447,9.328
0.4145008083580329,9.35
0.41450080822017615,9.375
0.41450080815374485,9.356
0.41450080814808216,9.374
0.4145008080965148,9.367
0.41450080781601856,9.361
0.4145008078109892,9.329
0.414500807707629,9.394
0.4145008076086066,9.366
0.4145008073571466,9.389
0.41450080600634,9.339
0.41450080600363753,9.331
0.414500805974408,9.373
0.4145008056394069,9.342
0.41450080553214896,9.369
0.41450080488682384,9.352
0.41450080469244155,9.362
0.41450080178527593,9.333
0.4145008017721687,9.308
0.4145008017119628,9.354
0.41450079846839355,9.307
0.4145007984626517,9.386
0.41450079751306795,9.375
0.4145007974637106,9.375
0.414500797264014,9.325
0.4145007968532673,9.35
0.41450079446558374,9.346
0.41450079445163907,9.325
0.41450079438777665,9.332
0.4145007935280038,9.37
0.4145007918830895,9.315
0.41450078896801207,9.359
0.41450078869362467,9.367
0.4145007884771541,9.391
0.4145007884542429,9.321
0.4145007884176612,9.353
0.41450078801587226,9.372
0.41450078798173623,9.339
0.41450078782298094,9.373
0.41450078781901456,9.332
0.41450078707989185,9.331
0.41450078672993457,9.38
0.41450078646112853,9.359
0.4145007864367528,9.356
0.41450078605792445,9.332
0.4145007853105364,9.337
0.4145007852319893,9.29
0.41450078523183165,9.342
0.4145007848146756,9.354
0.4145007841514705,9.364
0.41450078315300076,9.368
0.414500781033764,9.335
0.4145007789973373,9.352
0.414500778142357,9.336
0.41450077732074647,9.352
0.41450077689905657,9.375
0.41450077643488314,9.373
0.4145007757042725,9.335
0.4145007756408432,9.351
0.4145007750846387,9.379
0.41450077497624904,9.327
0.41450077479814573,9.348
0.4145007746503676,9.355
0.41450077422771586,9.348
0.4145007741864094,9.335
0.4145007732608075,9.335
0.41450077325999557,9.36
0.41450077294975257,9.324
0.41450077207718106,9.345
0.414500771838091,9.352
0.41450077007984504,9.385
0.41450076911187467,9.339
0.41450076804684577,9.346
0.4145007675709476,9.361
0.41450076706914146,9.377
0.4145007668038273,9.382
0.41450076677683767,9.311
0.4145007663233884,9.368
0.4145007661490013,9.383
0.4145007660907348,9.386
0.4145007659220292,9.301
0.41450076575541356,9.375
0.4145007656915721,9.324
0.41450076466320446,9.39
0.41450076459726687,9.338
0.41450076300161603,9.353
0.4145007623553423,9.317
0.41450076200055885,9.37
0.4145007618308076,9.378
0.4145007617963807,9.377
0.41450076163872895,9.354
0.41450076158072335,9.343
0.414500761541637,9.352
0.41450076112935386,9.351
0.4145007611286929,9.363
0.4145007607925045,9.373
0.41450076078768383,9.355
0.41450076078210735,9.364
0.41450076043202905,9.361
0.4145007595872191,9.343
0.41450075919935625,9.365
