start
time, average_reward, r_std
0,34,-51.554842140514296,100.75323808424216
1,23,-99.69093752684581,176.86046335109685
2,17,-141.88837078874934,202.20523702400175
3,19,-53.88511942339441,89.67657590905745
4,18,-85.36434257451225,149.9772932531113
5,19,-27.622115709187668,76.43143544734474
6,42,-37.516097154381995,107.9383415494918
7,17,-108.21543806184782,174.07305189532207
8,18,-155.6251444838393,236.8274319645684
9,14,-155.42600092303294,188.23357750171735
10,26,-45.19350098159164,96.2211902030394
11,38,-40.796152668869176,91.35397620174344
12,13,-139.4646270982766,132.4677271128302
13,12,-166.46143428629094,189.0039886043543
14,85,-13.276271447594766,74.10631433288142
15,16,-106.70045646051567,162.44018517593346
16,28,-51.301711074759574,124.71230498262823
17,54,-26.589623150865567,95.0508641025469
18,18,-28.108680498479487,60.53175453837346
19,28,-37.17290938841524,77.07258091383605
20,31,-30.539451482680935,102.56560077904044
21,13,-67.43982884089154,94.25337389203796
22,9,-150.92339398860932,113.24128315923323
23,19,-75.01199191566555,164.48189596403793
24,32,-48.21756105184435,123.70946721839972
25,87,-14.60830055072818,58.72561442847465
26,118,-5.898984978075791,33.87473722541692
27,20,-103.43829865421317,165.01591733108754
28,46,-23.063468138099548,78.15924910572038
29,17,-84.98610536464257,170.81807390848988
30,24,-44.72939084007041,84.20435881549852
31,50,-15.099567138042532,65.9344525718467
32,138,-12.715334547672729,72.78478320666787
33,161,-5.066203822032554,34.14977984938965
34,37,-28.776447257616876,85.76320901787307
35,63,-16.552212651614703,54.98849015749215
36,81,-11.504711369792936,54.433356768556
37,78,-29.07147267439778,97.81654802839901
38,121,-18.920228834319854,75.51056702247496
39,58,-21.710079047773366,93.85397170499805
40,12,-120.31173671375622,173.21566827119278
41,22,-71.06915699178798,147.02291095290687
42,143,-15.46310214445677,78.8617150336611
43,161,-7.860087564811115,52.532057878377785
44,44,-17.450545831574782,86.62953076851512
45,164,-10.444484502961583,63.008739494028234
46,200,-3.814585446528909,43.70753296865215
47,200,-10.741271822658078,59.404896221696454
48,200,-4.073581589486961,35.28350460523047
49,86,-15.28650813150274,77.04281137820033
50,200,-3.0702757403235874,35.42651874235377
51,170,-22.1798806937158,99.9852467616789
52,200,-5.396068456055762,50.58013690374121
53,97,-7.005163946848672,41.5324617770796
54,200,-3.331537431621711,39.713936159251396
55,200,-6.834481035823448,50.74183969073815
56,161,-11.247956000538547,57.58314851459497
57,101,-13.883017376426606,70.78459841190981
58,104,-9.183296282142765,65.0215079268513
59,200,-3.693702618292908,39.240308119967885
60,142,-14.639464711899876,70.70972439491365
61,200,-3.5299289719019193,32.133905399595484
62,35,-31.55268306228169,108.14230897173864
63,200,-2.2820182525969392,33.66182843274579
64,200,-0.4764822794545687,20.06553503220534
65,200,-1.0415025892456866,16.34343002733868
66,48,-21.098200238991453,83.56495314092558
67,200,-4.10558961613769,37.891809898430544
68,200,-0.9771743483682287,18.063883361670555
69,200,-4.832414884490889,43.14139817663152
70,170,-2.814202368097417,36.26195558731046
71,200,-5.218987593482515,43.183384990376176
72,200,-1.2727319778537585,26.34989244960683
73,200,-1.302455016193756,21.091812856343605
74,200,-1.312234691793481,27.58605022947923
75,200,-2.620741802120787,31.935264638509604
76,200,-1.2419291749587253,17.256219502122125
77,200,-1.580163076053844,19.705741570505825
78,200,-1.847401613898433,25.371793905579135
79,200,-0.5816157697405104,12.119798006246793
