t,best,mean,worst,sd,mean_ar,std_ar
15.638349496576666,200.0,200.0,200.0,0.0,92.59724323046915,22.058665183596922,0.21334371598938706
15.39826131697798,200.0,200.0,200.0,0.0,-1.6477348358857333,4.881834139310298,0.16466105784183077
14.975454291786333,200.0,200.0,200.0,0.0,-1.9538693599669577,5.14109002785517,0.17974904454211918
2.7456588917829743,200.0,200.0,200.0,0.0,-6.078871107511312,3.861803674618404,0.1903926352431844
2.349188943410723,200.0,200.0,200.0,0.0,1.4582740809534773,0.5220171799119617,0.20402075421652013
2.334624572854073,200.0,200.0,200.0,0.0,1.0633775571518993,0.7621861206799088,0.18684854195549847
2.3288147727494564,200.0,200.0,200.0,0.0,0.942499612395727,0.7812278732006721,0.22728341007329486
t,best,mean,worst,sd,mean_ar,std_ar
7.325947521090446,200.0,200.0,200.0,0.0,71.90646009459925,3.965098004464048,5.501593183939207
7.303844026413814,200.0,200.0,200.0,0.0,-0.41187423596594575,1.1919363838111985,5.353787193595375
7.300449478170614,200.0,200.0,200.0,0.0,-1.0426496517458457,1.198985618592482,5.185530939184254
7.289202519939975,200.0,200.0,200.0,0.0,-0.7633796016377827,1.192431226896823,5.427217035049975
7.271152553725345,200.0,200.0,200.0,0.0,-1.18872791541242,1.2495321674953386,5.216955484255523
7.25946735142518,200.0,200.0,200.0,0.0,-0.665052331556776,1.2275720583672898,4.775578002021877
7.258478064813832,200.0,200.0,200.0,0.0,-1.0931375522395694,1.2168360916481482,4.349324954684925
7.256440659248703,200.0,200.0,200.0,0.0,-1.0513458933811692,1.1284391310257142,4.865553844225922
7.237184748312746,200.0,200.0,200.0,0.0,-0.7780816953352421,1.1777789455317387,4.950173468074053
7.14467915318163,200.0,200.0,200.0,0.0,-0.13034409408238248,1.175598947284023,4.965885357168946
7.12303415495538,200.0,200.0,200.0,0.0,-1.548524881780767,1.172589363925829,4.757110842904225
7.121933061041325,200.0,200.0,200.0,0.0,-0.8476098810382614,1.1056012447622359,5.3268248990430935
7.0934156348799124,200.0,200.0,200.0,0.0,-0.9899524473962462,1.1777552799715676,4.5350050270561555
7.087615123779497,200.0,200.0,200.0,0.0,-0.234964766484911,1.1268541703430304,5.656080917909862
7.079444233207371,200.0,200.0,200.0,0.0,-0.7208992079861618,1.1161569974471761,4.936938850455465
7.076184418521271,200.0,200.0,200.0,0.0,-1.0428688215763855,1.1556464931929322,4.801203257652675
7.06927259817132,200.0,200.0,200.0,0.0,-0.7159870147740425,1.1199647456486443,5.077286762613358
7.066004575421482,200.0,200.0,200.0,0.0,-1.0105569646106025,1.1843403584924201,5.125874746805214
7.059622970906017,200.0,200.0,200.0,0.0,-0.7863551217144924,1.143958571351878,4.4963260178959485
7.051835555462258,200.0,200.0,200.0,0.0,-1.0333228153454732,1.19012983335893,4.991630927380445
7.05160922436794,200.0,200.0,200.0,0.0,-0.7717435667984318,1.116251644676116,4.831049894067859
7.02192538437009,200.0,200.0,200.0,0.0,-0.7367551000155729,1.119301057186694,5.702230168492538
6.981645123323374,200.0,200.0,200.0,0.0,0.023688688629334403,1.0954375118980066,4.460767797051134
