75.185,200,45
10.824,13,9
10.385,12,9
11.433,20,9
9.379,13,8
9.334,11,8
9.987,20,8
10.854,13,9
23.553,91,8
13.914,200,8
15.306,29,8
11.287,23,8
10.937,21,8
12.323,37,8
11.711,28,8
9.386,11,8
9.385,11,8
9.34,11,8
9.433,12,8
9.782,14,8
11.122,16,8
14.47,20,10
21.79,80,9
11.648,30,8
10.639,16,8
9.682,14,8
11.848,37,8
9.285,11,8
9.888,19,8
9.555,14,8
14.819,20,11
12.565,16,10
11.822,15,9
9.353,11,8
10.245,81,8
34.622,107,10
38.398,147,8
36.428,125,10
10.998,18,8
20.825,46,11
10.06,12,8
12.852,18,8
16.682,200,11
28.424,96,9
26.176,54,13
25.963,157,8
10.072,12,8
41.369,76,10
10.899,21,8
22.356,66,10
24.995,42,9
37.917,150,14
134.955,200,30
15.019,24,11
15.264,23,11
42.653,139,10
11.922,15,9
22.169,46,14
34.834,119,11
9.472,16,8
17.962,200,8
22.054,52,8
19.745,28,12
13.32,32,8
15.49,37,8
10.859,13,9
22.625,168,9
10.481,15,8
16.167,200,9
9.339,11,8
12.076,28,9
49.529,188,9
18.822,69,8
25.296,93,12
12.808,19,8
13.697,45,8
36.761,110,18
25.286,103,10
37.493,178,10
33.97,110,10
10.908,26,8
15.164,24,11
20.652,200,10
24.597,32,10
10.863,14,9
34.936,139,10
39.036,121,8
15.159,21,11
32.385,200,9
23.008,67,14
19.827,34,13
13.818,28,10
50.264,154,11
12.362,26,8
29.212,64,14
11.94,16,8
35.345,62,8
24.028,33,10
34.276,55,22
9.431,18,8
22.371,76,9
16.987,127,9
30.71,140,10
35.329,200,13
28.971,200,9
39.752,191,15
37.6,200,10
17.609,113,9
31.514,81,10
17.231,81,8
13.453,40,8
11.917,61,8
14.01,24,8
20.809,75,8
35.423,174,16
13.389,18,10
19.082,52,9
19.365,57,8
10.047,13,8
10.838,14,8
14.924,54,9
41.778,156,16
40.233,171,13
9.373,11,8
31.002,95,14
13.496,200,10
31.475,103,13
56.258,200,20
