t,best,mean,worst,sd,mean_ar,std_ar
23.97655865010543,200.0,47.96,23.0,25.005967287829517,91.41985484147084,12.61882462566323
23.917447094872895,11.0,9.35,8.0,0.6689544080129826,11.547602840581057,5.24315135088665
23.895819244017048,18.0,13.99,11.0,1.7463962895059073,9.57991918482409,5.396525605827306
23.895121150598612,19.0,14.83,11.0,2.1215796002035843,10.99105215258753,5.5322207516751565
23.895120948811325,19.0,15.35,11.0,2.0463381929681126,10.91130444910855,5.345390260024919
23.894867597931388,21.0,15.87,11.0,2.3394657509782015,10.797389581821834,5.382927381904469
23.89187089154658,17.0,14.03,11.0,1.711461363864227,10.431891266755976,5.185960581187801
23.889954701598167,20.0,15.8,12.0,2.1213203435596424,10.411355916866395,5.294051455296769
23.88928998247558,17.0,14.89,11.0,1.8487563387315267,10.845179242807342,5.532682945567312
23.877780579317182,32.0,25.96,13.0,3.8624344654634593,10.22084081424848,5.349524315935853
23.87143446455193,21.0,15.76,12.0,2.285257097133712,11.264016875037843,5.462683303414457
23.868927192771594,29.0,24.72,21.0,2.23194982022446,10.071988827460741,5.257956743285876
23.814937620381382,11.0,9.32,8.0,0.8109253973085317,10.943787094376798,5.353541231161402
23.814144540054276,21.0,12.46,8.0,4.316063020855928,9.33154260493056,5.58476020917252
23.796645200340393,19.0,14.94,12.0,1.859139585937538,10.034298434693465,5.545938621759697
23.79661565761141,20.0,14.91,11.0,1.965171748219478,10.87344808372036,5.5919011799470155
23.796516938802274,17.0,14.5,11.0,1.6093476939431082,10.246662922421269,5.4254783388897385
23.796510599941286,18.0,14.69,11.0,1.7646246059714794,10.656581542210432,5.371292398428893
23.796348333217644,17.0,14.0,11.0,1.42828568570857,10.342194982301598,5.369997752807413
23.776206463953592,11.0,9.2,8.0,0.7348469228349535,10.674007488842122,5.323227126932552
23.753963620678903,17.0,13.92,11.0,1.5471263684650973,9.802917912331015,5.571137815694044
23.753477756944346,21.0,15.76,11.0,2.236604569431083,10.75214710445444,5.414992458778236
23.740217056608948,26.0,17.79,10.0,2.957346783858802,10.596786147252299,5.236991634043221
23.727271770110477,19.0,14.93,11.0,2.250577703613008,9.915763527687758,5.5299434027009635
23.726894083469645,22.0,16.22,13.0,2.2653035116734364,10.153397086132031,5.272391627608533
23.723283454602246,17.0,13.59,10.0,1.887299658241902,10.520251167116252,5.146810897526572
23.722223398332492,19.0,15.38,11.0,2.189885841773493,9.943551612284782,5.347522293349283
23.722094635091494,21.0,15.79,12.0,2.3928852876809614,10.594576655272384,5.226384046239027
23.721900075235627,19.0,15.31,11.0,2.19861319926903,10.948001036107076,5.228697367954441
23.72135848133334,21.0,15.98,12.0,2.1678560837841614,10.981403546070364,5.391599896564811
23.721241885953727,20.0,15.63,12.0,2.0477060335897828,11.08581808843185,5.291784508172288
23.721146592327845,19.0,15.33,12.0,1.8058515996615006,10.591948250845784,5.25267224209954
23.707272896513754,24.0,14.86,9.0,5.000039999840001,10.636027910905023,5.491128704960155
23.691745791861113,19.0,15.36,12.0,1.8413038858374247,9.69334797212333,5.477555628747057
23.691744951425854,19.0,15.21,12.0,1.9250714272462723,10.683023149595542,5.397371488646114
23.691141360740986,19.0,14.5,11.0,1.905255888325765,10.805903167064502,5.486608643658908
23.69078393065079,19.0,15.02,11.0,2.1259350883787587,10.512883345032845,5.409541592368181
23.68999298281498,18.0,14.19,11.0,1.5855283031217073,10.170896151820804,5.229117219967733
23.689055189847988,19.0,14.85,11.0,2.228788908802267,10.490512965737679,5.427602471651419
23.689053006693157,19.0,15.17,12.0,1.8550202155232702,11.107063037301332,5.556882259922658
23.68902217436923,19.0,15.26,11.0,1.9006314740106773,10.743864408896371,5.304454555195443
23.68886898976519,18.0,14.41,11.0,1.8872996582419022,10.995326322848976,5.3353965611713825
23.688575846373833,19.0,15.96,12.0,2.1905250512148906,10.580656409149908,5.212492629417152
