10.857
# Get Best agent
9.366
39.606
# Get Best agent
30.531
41.197
# Get Best agent
15.864
9.359
20.117
26.949
11.928
9.331
30.454
9.349
9.38
9.335
9.369
9.352
9.387
9.29
14.648
best 14.587
