76.0,37.062,24.0,67.680156
34.0,23.701,17.0,12.317599
200.0,58.673,30.0,614.302071
34.0,21.232,14.0,18.616176
200.0,66.756,27.0,852.7104639999999
127.0,49.164,26.0,252.029104
200.0,59.243,28.0,795.937951
200.0,71.179,33.0,967.924959
32.0,11.791,8.0,36.443318999999995
200.0,114.211,46.0,2720.200479
200.0,56.114,28.0,1163.161004
60.0,32.404,18.0,63.560784
200.0,62.024,28.0,761.3594239999999
190.0,53.039,28.0,490.59947900000003
200.0,64.988,31.0,647.9258560000001
200.0,88.828,43.0,487.31841599999996
28.0,19.732,14.0,10.184175999999999
138.0,43.818,22.0,338.96887599999997
200.0,62.904,23.0,2906.3727840000006
200.0,82.23,38.0,980.2631000000001
