9.365,11.0,8.0
9.344,11.0,8.0
9.334,11.0,8.0
10.03,16.0,8.0
10.035,14.0,8.0
11.169,16.0,8.0
11.134,15.0,8.0
15.47,31.0,8.0
22.437,31.0,9.0
22.115,34.0,9.0
13.359,29.0,8.0
12.996,34.0,8.0
13.641,33.0,8.0
12.006,28.0,8.0
11.387,14.0,9.0
11.802,25.0,9.0
12.309,27.0,9.0
15.76,34.0,8.0
13.281,29.0,8.0
12.329,26.0,8.0
13.665,25.0,8.0
16.524,40.0,10.0
12.773,27.0,9.0
13.837,26.0,8.0
15.422,30.0,9.0
11.302,14.0,8.0
13.965,38.0,8.0
24.83,36.0,10.0
12.421,16.0,10.0
9.971,12.0,8.0
17.219,32.0,8.0
12.292,16.0,9.0
17.115,36.0,10.0
31.287,200.0,13.0
18.454,34.0,10.0
13.227,31.0,8.0
19.328,36.0,10.0
18.351,33.0,9.0
22.104,32.0,10.0
11.082,22.0,8.0
17.568,30.0,9.0
19.49,43.0,8.0
9.659,32.0,8.0
10.088,24.0,8.0
9.442,14.0,8.0
18.682,34.0,10.0
15.328,20.0,11.0
9.46,32.0,8.0
18.139,34.0,9.0
19.587,32.0,11.0
18.344,34.0,13.0
20.376,28.0,9.0
20.498,36.0,10.0
