5.3087,4.1536,4.1521,4.1502,4.1449,2.6944,2.4181,2.0662,2.0636,2.0526,2.0523,2.0506,2.0495,2.0357,2.0305,2.0128,2.0126,2.0046,2.0046,2.0032,1.9602,1.9555,1.9512,1.951,1.9432,1.9431,1.9229,1.8764,1.8376,1.824,1.8201,1.6796,1.6491,1.6465,1.6438,1.5728,1.5728,1.5496,1.5441,1.5302,1.53,1.5281,1.5276,1.5275,1.5264,1.5101,1.5086,1.5014,1.4968,1.4926,1.4924,1.4922,1.4546,1.3686,1.3598,1.3577,1.3546,1.3544,1.3148,1.3055,1.2825,1.2816,1.2815,1.2806,1.2747,1.2493,1.2487,0.9563,0.9156,0.6931,0.6891,0.684,0.6822,0.6798,0.6792,0.6683,0.6669,0.6669,0.6642,0.6497,0.6103,0.6102,0.6081,0.6077,0.6047,0.5615,0.5146,0.5019,0.4956,0.4873,0.4873,0.4873,0.4852,0.4533,0.4482,0.4482,0.4416,0.4413,0.4398,0.4397,0.4397,0.4395,0.4395,0.4395,0.4387,0.4386,0.4386,0.4386,0.4386,0.4386,0.4386,0.4386,0.4386,0.4385,0.4385,0.4385,0.4378,0.4378,0.4377,0.4376,0.4373,0.4373,0.4373,0.4373,0.4371,0.4369,0.4369,0.4369,0.4314,0.4314,0.4312,0.4311,0.4302,0.4302,0.4302,0.4299,0.4299,0.4299,0.4299,0.4281,0.4281,0.4281,0.4281,0.428,0.4279,0.4277,0.4274,0.4274,0.4274,0.4274,0.4274,0.4274,0.4274,0.4269,0.4263,0.4263,0.4261,0.4243,0.4242,0.4241,0.4241,0.4241,0.4241,0.4241,0.4241,0.4241,0.4241,0.4241,0.4241,0.4241,0.4069,0.3961,0.3738,0.3738,0.3738,0.372,0.3715,0.3714,0.3712,0.3704,0.3679,0.3678,0.3636,0.3537,0.3536,0.3536,0.3536,0.3531,0.3528,0.3522,0.3522,0.3515,0.3495,0.3493,0.3493,0.3491,0.3483,0.3465,0.3445,0.3445,
3.5217,3.3996,3.3781,2.8155,2.7067,2.654,2.5991,2.5254,2.4967,2.4879,2.4207,2.4194,2.4192,2.4184,2.4051,2.3852,2.3726,2.3074,2.3071,2.2885,2.2707,2.2514,2.133,2.0782,2.077,2.0297,1.9774,1.886,1.8531,1.8478,1.8359,1.7877,1.7874,1.7747,1.7703,1.7703,1.7701,1.7086,1.5691,1.562,1.5306,1.5213,1.5212,1.4272,1.4093,1.3466,1.343,1.343,1.3196,1.3147,1.312,1.291,1.2901,1.285,1.2312,1.231,1.2044,1.1844,1.1815,1.1235,1.0965,1.0354,1.0354,1.0249,1.0112,0.9941,0.8184,0.667,0.6668,0.6551,0.6152,0.5948,0.5942,0.5941,0.5873,0.5871,0.586,0.586,0.5857,0.5853,0.5848,0.5845,0.5838,0.5837,0.5834,0.5834,0.5833,0.5818,0.581,0.5809,0.5809,0.5809,0.5809,0.5807,0.5806,0.5802,0.5801,0.5801,0.5797,0.5795,0.5795,0.5795,0.5795,0.5795,0.5772,0.5771,0.5768,0.5768,0.576,0.5759,0.5758,0.5758,0.5758,0.5758,0.5754,0.5754,0.5754,0.5752,0.5751,0.5749,0.5749,0.5749,0.5743,0.5743,0.5743,0.5741,0.574,0.574,0.5736,0.5734,0.5733,0.5733,0.5732,0.573,0.5685,0.5646,0.5641,0.564,0.5639,0.5636,0.5634,0.5632,0.5631,0.5629,0.5629,0.5629,0.5629,0.5627,0.5626,0.5626,0.5626,0.5625,0.5625,0.5572,0.5509,0.5504,0.5497,0.5493,0.5456,0.545,0.5442,0.5442,0.5432,0.54,0.54,0.54,0.5399,0.5397,0.5362,0.5357,0.5355,0.535,0.5349,0.5347,0.5328,0.5321,0.5315,0.5314,0.5314,0.5314,0.5313,0.5313,0.5313,0.5312,0.5287,0.5285,0.5284,0.5283,0.5268,0.5246,0.5246,0.5246,0.5246,0.5246,0.5245,0.5245,0.5245,0.5245,0.5243,0.5243,
3.0698,1.8741,1.5114,1.323,1.267,1.2669,1.2632,1.2533,1.2467,1.2467,1.234,1.2322,1.2129,1.1993,1.1992,1.1937,1.1935,1.182,1.1797,1.1731,1.1728,1.1689,1.158,1.158,1.1557,1.1546,1.1545,1.1545,1.1545,1.1075,1.1072,1.1072,1.1006,1.098,1.0976,1.0976,1.0852,1.0598,1.057,1.0367,1.0017,0.9979,0.9654,0.9582,0.953,0.9515,0.9372,0.9135,0.9127,0.9123,0.9109,0.9093,0.8952,0.8942,0.8875,0.8862,0.8862,0.8844,0.8843,0.8786,0.876,0.8757,0.875,0.8746,0.8706,0.8704,0.8666,0.8512,0.8504,0.8483,0.8481,0.8479,0.8479,0.8478,0.8476,0.8443,0.8425,0.8425,0.8424,0.8423,0.8423,0.8423,0.8423,0.8419,0.8216,0.8195,0.8187,0.8155,0.7961,0.7949,0.7948,0.7924,0.7924,0.7911,0.7892,0.7891,0.7883,0.7882,0.7881,0.7866,0.7844,0.7419,0.6811,0.6705,0.6495,0.6494,0.6463,0.6451,0.6407,0.6407,0.6358,0.6358,0.6358,0.6358,0.6358,0.6283,0.6281,0.6281,0.6236,0.6206,0.62,0.6132,0.6128,0.6127,0.6122,0.6118,0.6114,0.6114,0.5968,0.5938,0.5933,0.5928,0.592,0.592,0.5904,0.5899,0.5895,0.588,0.588,0.5878,0.5878,0.5876,0.5876,0.5876,0.5876,0.5867,0.5861,0.586,0.586,0.5858,0.5849,0.5802,0.58,0.58,0.58,0.5799,0.5798,0.5786,0.5782,0.5776,0.5755,0.5754,0.5752,0.5751,0.5751,0.5748,0.5748,0.5748,0.5748,0.5719,0.5695,0.5695,0.5694,0.5693,0.5693,0.569,0.568,0.5674,0.5674,0.5674,0.5674,0.5674,0.5674,0.5659,0.5652,0.5652,0.5651,0.565,0.5644,0.5644,0.5634,0.5608,0.56,0.56,0.5599,0.5598,0.5598,0.5547,0.5537,0.5492,
2.7849,2.3798,1.9639,1.4155,1.4142,1.4134,1.4075,1.3992,1.3992,1.3834,1.378,1.3667,1.3664,1.3357,1.2124,1.1966,1.1966,1.194,1.192,0.7593,0.6176,0.5526,0.5524,0.5513,0.5505,0.5444,0.5444,0.5439,0.5439,0.5436,0.5432,0.5427,0.5425,0.5425,0.5425,0.5416,0.5415,0.5413,0.5403,0.5403,0.54,0.5399,0.5399,0.5399,0.5392,0.5386,0.5386,0.5386,0.5386,0.5385,0.5385,0.5382,0.5382,0.5382,0.5345,0.5337,0.5337,0.5326,0.5322,0.5321,0.5318,0.5318,0.5317,0.5317,0.5317,0.5316,0.5316,0.5313,0.5305,0.5304,0.5299,0.5299,0.5298,0.5298,0.5298,0.5298,0.5298,0.5296,0.5295,0.5295,0.5295,0.5295,0.5293,0.5293,0.5291,0.5267,0.5258,0.5255,0.5254,0.5254,0.5254,0.5242,0.5241,0.5241,0.5238,0.5238,0.5229,0.5229,0.5229,0.5224,0.5222,0.5221,0.5221,0.522,0.522,0.5219,0.5218,0.5217,0.5217,0.5216,0.5216,0.5216,0.518,0.5171,0.5168,0.5166,0.5165,0.5164,0.5155,0.5154,0.5148,0.5147,0.5147,0.5141,0.5141,0.5141,0.5136,0.5124,0.5112,0.511,0.5103,0.5089,0.5082,0.5082,0.5067,0.5062,0.5028,0.5015,0.5014,0.5007,0.5007,0.5006,0.5006,0.5005,0.5005,0.5005,0.5002,0.5001,0.4997,0.4997,0.4997,0.4995,0.4977,0.4977,0.4976,0.4976,0.4976,0.4976,0.497,0.4968,0.4956,0.4953,0.4953,0.4953,0.4952,0.4788,0.475,0.4666,0.4666,0.463,0.4611,0.4611,0.461,0.4608,0.4567,0.4543,0.4543,0.4543,0.4543,0.4537,0.4536,0.4536,0.4535,0.4534,0.4533,0.4522,0.4522,0.4519,0.4518,0.4405,0.4312,0.4312,0.4312,0.4312,0.4311,0.4311,0.431,0.431,0.4309,0.4309,
3.3502,3.3501,2.9737,2.8873,2.2741,2.1598,1.9315,1.9311,1.8104,1.4858,1.481,1.4773,1.4768,1.4337,1.371,1.3668,1.3087,1.3055,1.2651,1.2345,1.2306,1.2305,1.2213,1.2178,1.2173,1.1826,1.1534,1.1515,1.1369,1.1342,1.1321,1.132,1.1296,1.0598,1.0566,1.0535,1.0531,1.051,1.0396,1.0337,1.0327,1.0245,1.0114,1.0111,1.0083,1.0053,1.0052,0.9985,0.9945,0.9945,0.9638,0.9597,0.9587,0.9587,0.9575,0.954,0.9472,0.9454,0.9453,0.9419,0.9402,0.9392,0.9274,0.9263,0.9258,0.9239,0.9185,0.9086,0.9028,0.9026,0.9025,0.9025,0.8966,0.8965,0.8965,0.8956,0.8951,0.8951,0.8946,0.8944,0.8944,0.8497,0.8467,0.8466,0.8466,0.8448,0.844,0.844,0.8428,0.8428,0.8423,0.8413,0.8412,0.8402,0.8399,0.8398,0.8398,0.8395,0.8392,0.8388,0.8387,0.8387,0.8386,0.8386,0.8385,0.8379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.59,12.84,11.19,14.03,9.46,33.95,44.75,21.66,32.69,20.93,40.17,49.08,29.24,135.14,43.72,42.55,33.65,48.47,47.77,48.55,24.21,49.92,24.39,41.58,48.47,29.19,68.31,14.21,17.31,36.9,22.82,25.71,77.39,33.48,36.22,24.07,16.07,28.09,20.35,25.75,21.69,105.07,21.16,37.13,27.13,23.07,27.96,46.05,59.97,47.56,115.42,32.31,19.81,35.08,52.3,64.36,34.46,37.95,36.57,17.53,81.04,77,61.91,49.14,51.77,99.95,95.88,31.43,9.73,32.52,117.91,52.41,55.67,65.82,54.07,36.53,40.42,46.53,39.52,96.48,29.53,98.11,23.83,32.44,43.71,22.14,26.22,13.77,20.36,9.81,9.93,9.36,9.33,14.6,10.14,14.63,20.65,21.89,28.73,22.37,19.94,18.88,9.44,15.82,24.23,22.44,18.6,14.95,24.33,20.82,18.68,21.23,9.64,20.79,21.58,22.17,22.81,17.41,14.85,21.94,22.68,18.32,15.93,23.84,33.22,22.62,25.13,21.11,21.39,9.31,22.96,9.27,16.23,13.79,11.28,18.72,19.64,27.26,16.05,18.67,17.65,15.65,15.93,23.9,43.46,9.38,16.98,28,18.5,20.61,17.97,21.09,16.89,46.53,24.03,15.45,31.29,19.8,18.53,18.49,27.02,21.43,24.7,23.02,21.42,20.53,21.1,23.29,20.65,14.82,26.08,29.92,18.76,9.28,9.41,21.72,12.35,9.33,22.74,16.23,29.53,9.31,9.23,18.34,9.35,9.48,9.32,12.52,13.68,11.48,10.94,18.07,26.96,9.39,9.33,11.84,35.7,18.08,17.37,34.53,135.14
9.4,16.91,21.2,153.86,17.04,38.04,100.6,14.18,64.49,86.64,16.01,25.06,27.78,24.12,34.37,57.36,88.99,16,16.17,46.11,16.28,111.27,53.13,9.3,11.08,19.95,25.37,53.35,12.27,39,44.85,19.43,19.08,62.73,35.18,14.51,57.97,26.03,61.35,63.36,17.28,15.29,70.44,27.27,29.34,88.63,24.29,20.8,100.99,18.58,20.71,49.61,9.46,12.3,24.3,43.55,14.91,47.11,16.15,27.93,76.64,30.25,23.85,98.46,25.22,96.29,32.75,35.71,40.96,168.52,29.59,37.93,52.23,78.17,21.95,66.81,28.84,61.64,14.1,48.46,34.23,32.66,48.89,22.48,45.1,21.51,14.65,43.09,38.22,25.13,24.34,26.7,71.49,32.42,19.18,20.6,19.4,25.15,22.62,9.44,9.41,12.2,12.37,35.11,21.73,90.54,41.23,17.02,25.83,16.78,102.26,17.15,23.54,54.15,20.77,48.27,18.86,34.64,18.35,17.33,15.03,18.75,28.04,25.06,40.52,18.74,148.84,69.92,29.22,19.03,27.23,17.4,21.64,18.36,9.9,17.76,19.86,37.15,9.44,25.5,25.33,63.8,35.79,41.31,16.42,18.07,60.39,28.65,16.46,17.12,23.36,21.52,15.24,30.85,31.78,34.32,38.89,14.83,50.43,31.5,20.97,68.14,37.58,33.79,82.96,91.21,78.75,45.78,17.75,18.23,87,17.77,16.58,61.45,40.03,34.41,119.03,32.02,31.69,25.08,18.97,42.5,55.78,23.59,35.57,25.64,19.56,30.17,33.27,39.62,18.51,15.97,18.57,27.91,22.15,18.92,15.66,15.41,19.61,39.46,168.52
19.84,32.38,33.64,35.4,67.17,90.96,76.47,60.43,32.86,31.27,21.13,44.15,26.7,69.72,155.81,23.57,20.1,62.63,36.07,18.53,21.43,72.03,9.42,12.81,9.86,9.36,9.39,9.37,13.14,28.84,53.3,25.61,91.69,16.85,125.43,163.43,12.11,19.1,26.35,26.24,42.71,9.36,25.58,19.24,19.75,107.12,10.38,22.37,73.47,199.07,39.91,27.81,26.46,13.15,50.83,17.84,12.39,20.97,29.49,27.58,67.03,41.41,112.62,18.48,25.94,30.47,93.33,32.45,63.65,106.8,19.32,105.01,18.41,47.39,50.13,27.4,69.31,50.88,93.09,73.04,55.77,41.08,86.69,73.38,11.6,9.17,9.26,9.33,23.55,59.12,50.51,79.32,80.59,39.92,22.18,60.6,90.08,52.18,19.51,23.33,55.53,30.75,29.82,30.15,12.25,9.29,9.39,9.32,22.97,16.35,9.39,9.33,9.41,9.48,9.58,19.61,23.6,68.14,29.72,20.28,27.08,37.73,22.61,21.17,19.93,20.84,95.22,97.44,31.89,37.1,59.01,34.1,34.77,36.96,18.01,41.79,14.08,22.09,15.52,25.14,19.97,74.33,16.56,15.58,38.71,33.55,23.32,35.62,21.82,44.11,13.51,27.75,22.28,44.39,31.61,20.81,14.91,28.56,34.7,44.42,22.54,25.5,49.97,37.31,78.91,14.58,42.07,19.78,20.25,33.11,21.5,22.19,12.18,15.49,14.63,26.03,74.27,18.31,20.53,38.16,12.22,14.42,9.38,35.38,9.39,12.64,9.46,17.36,32.83,15.45,13.68,19.73,37.39,52.01,9.44,18.66,19.82,35.37,20.97,9.44,199.07
22.59,98.15,27.56,80.18,10.56,16.51,22.39,14.34,9.42,20.54,15.91,57.51,10.75,21.54,38.41,9.44,9.33,15.89,9.29,35.5,9.45,15.65,197.26,15.07,13.02,17.42,123.95,105.14,85.37,70.64,117.08,72.54,115.98,99.21,90.22,23.05,142.22,30.18,73.46,109.77,98.91,96.21,84.18,93.73,65.46,104.47,105.29,20.24,95.4,82.33,82.25,20.96,106.1,111.68,28.78,23.52,17.69,37.25,16.47,12.33,23.28,15.6,21.1,23,23.78,64.5,21.25,19.83,30.52,20.7,20.31,14.92,22.05,14.68,112.76,15.11,54.96,78.36,110.15,53.33,19.93,21.9,27.19,18.44,24.92,32.66,12.36,80.3,20.37,21.3,18.95,30.94,40.48,84.39,156.21,22.24,29.41,49.03,48.98,46.29,45.48,50.83,41.34,42.79,28.93,23.11,26.64,77.58,31.84,24.12,36.91,25.83,9.4,13.48,18.52,27.12,9.27,36.92,22.94,42.37,37.64,13.81,19.67,36.43,20.7,44.67,50.48,58.84,76.2,64.34,76.31,33.91,34.45,59.87,20.83,52.86,38.73,56.33,86.4,111.84,25.47,21.08,51.17,21.71,106.27,21.46,37.09,18.66,54.47,20.06,43.17,58.3,32.06,36.63,26.68,59.47,56.17,55.59,13.9,19.18,22.8,20.44,19.82,14.71,22,17.72,11.95,20.6,66.59,32.28,21.22,63.45,20.84,49.2,31.85,18.8,22.13,19.67,12.49,30.22,20.58,59.18,43.85,23.41,69.92,15.53,9.43,27.35,14.25,32.15,15.8,24.3,22.61,15.61,18.33,14.39,22.37,23.69,21.73,21.55,197.26
