t,best,mean,worst,sd,mean_ar,std_ar
t,best,mean,worst,sd,mean_ar,std_ar
11.544555818245,200.0,200.0,200.0,0.0,82.71202113989895,11.127117349748636
11.513385623892319,10.0,9.23,8.0,0.77272245987806,5.269184203973734,2.8838958628614066
11.51338392914172,10.0,9.01,8.0,0.7549172140042907,4.437308564035007,2.988794144118192
11.513377297526397,11.0,9.37,8.0,0.7437069315261221,4.360196716436165,2.9620932771601862
11.513377212016254,11.0,9.45,8.0,0.7262919523166975,4.747130114980668,2.918554714052935
11.513365919927692,10.0,9.15,8.0,0.739932429347437,4.29405672774336,2.9326624898259652
11.513365692073249,10.0,9.1,8.0,0.7681145747868608,4.16324079021545,2.870286454710932
11.513353167562297,10.0,9.08,8.0,0.7573638491504596,4.166612421608979,3.087872530924084
11.513329886256678,11.0,9.31,8.0,0.7306846104852627,4.328330360649419,2.9649055217522826
11.513322655582403,10.0,9.19,8.0,0.702780193232564,4.094592702310157,2.9662895420056214
11.513319977286873,10.0,8.94,8.0,0.7722693830523131,4.577103927774854,2.9578952598247388
11.513319150302255,10.0,9.26,8.0,0.7432361670424819,3.879546648869985,2.9955645369684305
11.513315501872105,10.0,9.1,8.0,0.7681145747868608,4.152625482551027,2.845840490268634
11.513299008402171,11.0,9.22,8.0,0.756042326857432,4.303066156303933,3.0423940928560262
11.513293792230716,10.0,9.21,8.0,0.7654410493303844,4.385380391312429,2.945452371829633
11.513293371288315,11.0,9.34,8.0,0.7644605941446557,4.263768152265712,3.026415973309977
11.513293313798426,10.0,9.13,8.0,0.7701298591796063,4.232981221380189,2.894359890399675
11.513291496996409,11.0,9.37,8.0,0.7022107945624306,4.24059706010444,3.0089992814858357
11.513289512366294,10.0,9.11,8.0,0.7601973427998812,4.434977160610857,2.8329240715850377
11.513282572081884,10.0,9.08,8.0,0.7304792947099871,4.096788496131935,2.9661016333213546
11.513280128398742,10.0,9.14,8.0,0.7485986908885159,4.267357233081028,3.103700281459538
11.51327907651079,11.0,9.26,8.0,0.7565712127751094,4.565497595148266,2.9351996881991527
11.513259058771169,10.0,9.05,8.0,0.7123903424387503,4.253516362443362,2.9689159505177525
11.513223795702098,11.0,9.28,8.0,0.8494704232638122,4.5344300323243845,2.956695989140255
