t,best,mean,worst,sd,mean_ar,std_ar
t,best,mean,worst,sd,mean_ar,std_ar
28.487537877153095,10.0,8.94,8.0,0.6452906321960672,80.16277024366576,4.534151478999827,19.012999900764115
27.8521335624321,200.0,200.0,200.0,0.0,9.505510512806557,3.1782071931626135,0.5179160186625195
18.51895662612548,200.0,200.0,200.0,0.0,15.975808268002428,2.4696890641532927,0.43596515758837484
12.44887390535717,10.0,9.24,8.0,0.6945502141674134,20.96260799100169,0.693069736281893,10.28586881699282
t,best,mean,worst,sd,mean_ar,std_ar
20.623659018347823,200.0,200.0,200.0,0.0,81.40832825008907,2.881406024918482,3.0806254767353165
20.459900379055377,200.0,200.0,200.0,0.0,6.137239456308319,5.096208557828941,4.199696963492291
19.069182610124283,30.0,11.48,8.0,3.565052594282446,8.90785629332999,4.763100857004922,0.15498440930644478
14.25481505693816,200.0,200.0,200.0,0.0,14.798684605822027,3.2026042869089677,3.9477697213969627
14.232864483519355,200.0,200.0,200.0,0.0,0.1622088256567306,3.712500645325038,4.877270629693334
13.142978942439388,200.0,200.0,200.0,0.0,1.5774110187179335,3.5272051674500955,3.1138397777875757
12.983825739949555,200.0,200.0,200.0,0.0,6.7431036910526325,2.7458680336841303,2.9193570207480106
12.303322201203624,200.0,200.0,200.0,0.0,4.102266125169681,3.0119877067863956,3.3317647687926955
10.254913412673245,200.0,200.0,200.0,0.0,-0.852798013937902,3.141339972106934,3.0899696713879248
8.557170354417906,200.0,200.0,200.0,0.0,5.319655016920034,1.8496199193189284,3.6651643456981393
8.35611056255008,200.0,200.0,200.0,0.0,-0.9013994115071811,1.875386477892246,3.9523142575774153
7.559160693666548,200.0,200.0,200.0,0.0,1.067767336045173,1.751991239428719,2.4430929626411815
7.262088567527247,200.0,200.0,200.0,0.0,-2.04509021552617,1.419065082223871,3.456918116998649
7.262034673171069,200.0,200.0,200.0,0.0,0.3006319910603729,1.220230162942339,3.855804680453805
7.244112000987307,200.0,200.0,200.0,0.0,0.4347639014354009,1.1675570166295919,4.1050920075208825
7.243743772110012,200.0,200.0,200.0,0.0,-0.2526674111771095,1.2275431058606598,2.9783201561248998
7.21151049679603,200.0,200.0,200.0,0.0,-0.1829444997551204,1.253361565917317,3.630224050648503
6.183454214568795,200.0,200.0,200.0,0.0,-0.8822651490300697,1.2024202865657267,2.774702693249388
6.164501318719363,200.0,200.0,200.0,0.0,-1.451554722245352,0.7335664078697623,2.4381117690355607
6.14191049920097,200.0,200.0,200.0,0.0,-0.8256991746095408,0.7927671769752399,2.8639922033072382
6.131239732728103,200.0,200.0,200.0,0.0,-0.2805663358737701,0.7561135941560516,2.770325276037004
5.783787081900449,200.0,200.0,200.0,0.0,-0.10665457059386067,0.7900621080198524,1.3070796053613885
5.73233901030172,200.0,200.0,200.0,0.0,-1.1147283913790187,0.7645872791737606,2.77967798448319
5.726424689164868,200.0,200.0,200.0,0.0,-0.1724087179757892,0.7072294666272873,2.647632347340358
5.715561959326836,200.0,200.0,200.0,0.0,-0.42019634691531393,0.7155928858995358,2.5826000502822666
t,best,mean,worst,sd,mean_ar,std_ar
14.253626204241932,200.0,200.0,200.0,0.0,94.10202387484655,7.7680157754451375,162.68189382045182
7.712510041060078,200.0,200.0,200.0,0.0,2.0343107646363343,5.06190469131976,216.6188783621347
2.2958979921251834,200.0,200.0,200.0,0.0,-6.949118720434509,2.3555987169893524,300.1028273546563
2.2224604287796574,200.0,200.0,200.0,0.0,-0.8041814747418466,0.19588324556177295,266.31969111969113
2.2175001426902954,200.0,200.0,200.0,0.0,-0.12726994125265295,0.22682848485921908,280.56538379408335
2.217448872104228,200.0,200.0,200.0,0.0,-0.27888192558137526,0.22233361158248013,357.7357475797777
2.2160776236511817,200.0,200.0,200.0,0.0,-0.2826466426335347,0.209592523336848,242.72658224444802
2.2053099795585904,200.0,200.0,200.0,0.0,-0.17028209819815063,0.22891011428433297,261.2044919561599
2.167021448291965,200.0,200.0,200.0,0.0,-0.36172274092837586,0.21595704940954397,209.22531445959763
2.1479784892564937,200.0,200.0,200.0,0.0,0.12915166330974115,0.23953003141454204,347.41598982845
2.139549356073512,200.0,200.0,200.0,0.0,0.07164231634898928,0.2852993853532776,230.0067171274402
